,singer,genre,content,likes,sentiment,release_filled,release_rank,year,scaled_likes,feature
19079,김보경 (NEON),발라드,혼자라고 생각말기 (슈퍼스타 K5 송희진 오디션 참가곡),46680,stress,2012-12-24,0.25466267060523085,2012,0.12624609875755233,0.3809087693627832
19080,윤종신,발라드,오르막길,43562,stress,2016-01-20,0.37372517734319416,2016,0.15302362343022746,0.5267488007734216
19081,전진희,"발라드, 인디음악",취했네 (With 곽진언),2485,stress,2017-09-14,0.4950085167856142,2017,0.004501395704382385,0.4995099124899966
19082,폴킴,R&B/Soul,나를 사랑하지 않는 나에게,16731,stress,2019-10-07,0.7022574872248216,2019,0.038854634758072944,0.7411121219828946
19083,이소라,발라드,바람이 분다,106355,stress,2004-12-10,0.10394790745811683,2004,0.6658423589807801,0.7697902664388969
19084,박원,발라드,all of my life,235828,stress,2017-07-27,0.48681515340994846,2017,0.42718516948615254,0.914000322896101
19085,이적,발라드,거짓말 거짓말 거짓말,109051,stress,2013-11-15,0.2793721296276332,2013,0.41929629615389047,0.6986684257815237
19086,종현 (JONGHYUN),R&B/Soul,멍하니 있어 (Just Chill),19412,stress,2017-04-24,0.4654908471506501,2017,0.035163417872624086,0.5006542650232741
19087,Mild High Club,록/메탈,Homage,5534,stress,2018-11-08,0.6027728066581859,2018,0.014558981765756665,0.6173317884239425
19088,Coin,"POP, 록/메탈",Malibu 1992,2950,stress,2017-03-10,0.45576661851268896,2017,0.005343709186288948,0.4611103276989779
19089,Ten Sleep,POP,Darkroom,3554,stress,2017-06-06,0.47478384613726043,2017,0.006437810999346075,0.48122165713660653
19090,Cigarettes After Sex,록/메탈,K.,40711,stress,2017-06-09,0.4759050432307726,2017,0.0737449981976303,0.5496500414284029
19091,Mac Demarco,록/메탈,One More Love Song (Instrumental),303,stress,2018-09-21,0.5860410961857738,2018,0.0007971397678034458,0.5868382359535773
19092,Mac Demarco,"POP, 록/메탈",Chamber Of Reflection,3416,stress,2015-10-23,0.35626037646348563,2015,0.013410593426610763,0.3696709698900964
